SocketIO: Connecting socket to localhost:9002
1377017919.5372	-16.0	-0.056
1377017919.5735	-32.0	-0.112
1377017919.5735	-64.0	-0.224
1377017919.5736	-16.0	-0.056
1377017919.5758	-32.0	-0.112
1377017919.5851	-16.0	-0.056
1377017919.5948	-16.0	-0.056
1377017919.6050	32.0	0.112
1377017919.6149	32.0	0.112
1377017919.6210	0.0	0.000
1377017919.6310	0.0	0.000
1377017919.6442	-32.0	-0.112
1377017919.6509	0.0	0.000
1377017919.6602	0.0	0.000
1377017919.6732	32.0	0.112
1377017919.6830	48.0	0.168
1377017919.6940	-96.0	-0.336
1377017919.7019	-32.0	-0.112
1377017919.7121	-80.0	-0.280
1377017919.7222	16.0	0.056
1377017919.7323	48.0	0.168
1377017919.7413	48.0	0.168
1377017919.7513	16.0	0.056
1377017919.7613	-16.0	-0.056
1377017919.7712	-80.0	-0.280
1377017919.7803	-32.0	-0.112
1377017919.7901	48.0	0.168
1377017919.8002	16.0	0.056
1377017919.8103	-64.0	-0.224
1377017919.8164	0.0	0.000
1377017919.8262	0.0	0.000
1377017919.8364	0.0	0.000
1377017919.8494	48.0	0.168
1377017919.8594	16.0	0.056
1377017919.8654	0.0	0.000
1377017919.8785	-16.0	-0.056
1377017919.8882	-16.0	-0.056
1377017919.8972	16.0	0.056
1377017919.9074	-16.0	-0.056
1377017919.9174	-32.0	-0.112
1377017919.9274	-16.0	-0.056
1377017919.9375	-48.0	-0.168
1377017919.9465	48.0	0.168
1377017919.9536	0.0	0.000
1377017919.9665	-32.0	-0.112
1377017919.9756	-256.0	-0.895
1377017919.9855	320.0	1.119
1377017919.9955	-80.0	-0.280
1377017920.0055	-80.0	-0.280
1377017920.0154	-16.0	-0.056
1377017920.0255	-48.0	-0.168
1377017920.0347	-16.0	-0.056
1377017920.0447	48.0	0.168
1377017920.0507	0.0	0.000
1377017920.0634	-16.0	-0.056
1377017920.0705	0.0	0.000
1377017920.0837	32.0	0.112
1377017920.0928	-32.0	-0.112
1377017920.1026	-16.0	-0.056
1377017920.1128	-48.0	-0.168
1377017920.1227	-64.0	-0.224
1377017920.1327	16.0	0.056
1377017920.1418	48.0	0.168
1377017920.1518	16.0	0.056
1377017920.1618	32.0	0.112
1377017920.1719	-32.0	-0.112
1377017920.1807	-16.0	-0.056
1377017920.1908	32.0	0.112
1377017920.2007	16.0	0.056
1377017920.2108	-16.0	-0.056
1377017920.2196	-32.0	-0.112
1377017920.2269	0.0	0.000
1377017920.2399	-16.0	-0.056
1377017920.2460	0.0	0.000
1377017920.2587	-16.0	-0.056
1377017920.2689	-16.0	-0.056
1377017920.2787	-16.0	-0.056
1377017920.2890	-32.0	-0.112
1377017920.2985	-48.0	-0.168
1377017920.3080	-32.0	-0.112
1377017920.3151	0.0	0.000
1377017920.3239	0.0	0.000
1377017920.3370	-64.0	-0.224
1377017920.3440	0.0	0.000
1377017920.3568	-32.0	-0.112
1377017920.3628	0.0	0.000
1377017920.3760	-16.0	-0.056
1377017920.3860	48.0	0.168
1377017920.3960	-64.0	-0.224
1377017920.4062	32.0	0.112
1377017920.4149	-32.0	-0.112
1377017920.4250	32.0	0.112
1377017920.4349	32.0	0.112
1377017920.4412	0.0	0.000
1377017920.4512	0.0	0.000
1377017920.4640	-16.0	-0.056
1377017920.4742	-16.0	-0.056
1377017920.4841	-16.0	-0.056
1377017920.4932	16.0	0.056
1377017920.5031	-64.0	-0.224
1377017920.5130	-48.0	-0.168
1377017920.5193	0.0	0.000
1377017920.5323	32.0	0.112
1377017920.5393	0.0	0.000
1377017920.5521	-16.0	-0.056
1377017920.5622	-64.0	-0.224
1377017920.5711	-16.0	-0.056
1377017920.5814	16.0	0.056
1377017920.5913	16.0	0.056
